Symbol,Name
SMEU,INVESCO MARKETS PLC INVESCO MSCI EUROPE UCITS ETF
0HCU,UBS ETF - MSCI SINGAPORE UCITS ETF UBS ETF - MSCI SINGAPORE UCITS ETF (SGD)
0HCG,UBS ETF FTSE 100 UBS ETF - FTSE 100 UCITS ETF (GBP) A-UKD
0Y49,UBS (IRL) ETF PLC-S&P 500 UCITS ETF UBS (IRL) ETF PLC-S&P 500 UCITS ETF (EUR
0E6X,UBS ETF MSCI EUROPE UCITS ETF (EUR) UBS ETF MSCI EUROPE UCITS ETF (CHFH) A-A
0HCF,UBS ETF - MSCI EMU UCITS ETF (EUR) UBS ETF - MSCI EMU UCITS ETF (EUR) A-UKD
0JGN,ISHARES RUSSELL 2000 ETF ISHARES RUSSELL 2000 ETF
0H7Y,COMSTAGE ATX UCITS ETF COMSTAGE ATX UCITS ETF
0HZV,GUGGENHEIM INVEST SHIPPING ETF GUGGENHEIM INVEST SHIPPING ETF
0IEK,ETFIS INFRACAP MLP ETF ETFIS INFRACAP MLP ETF
0E1J,UBS ETF MSCI JAPAN UCITS ETF (JPY) UBS ETF MSCI JAPAN UCITS ETF (JPY) AUKD
0H7G,ARK INNOVATION ETF ARK INNOVATION ETF
0HCP,UBS ETF MSCI EMERGING MARKETS UCITS UBS ETF MSCI EMERGING MARKETS UCITS ETF
0DAG,UBS (IRL) ETF PLC-S&P 500 UCITS ETF UBS (IRL) ETF PLC-S&P 500 UCITS ETF (EUR
0Y48,UBS (IRL) ETF PLC-S&P 500 UCITS ETF UBS (IRL) ETF PLC-S&P 500 UCITS ETF (CHF
0LKM,VANECK VECTORS RUSSIA ETF VANECK VECTORS RUSSIA ETF
0IYI,GLOBAL X URANIUM ETF GLOBAL X URANIUM ETF
0H8W,COMSTAGE HSI UCITS ETF COMSTAGE HSI UCITS ETF
0IYB,GLOBAL X FINTECH ETF GLOBAL X FINTECH ETF
0JLU,ISHARES MSCI JAPAN ETF ISHARES MSCI JAPAN ETF
0HCV,UBS ETF - MSCI HONG KONG UCITS ETF UBS ETF - MSCI HONG KONG UCITS ETF (HKD)
0ED7,THINK AEX UCITS ETF THINK AEX UCITS ETF
0E1O,UBS ETF MSCI CANADA UCITS ETF (CAD) UBS ETF MSCI CANADA UCITS ETF (CAD) AUKD
0DZP,UBS ETF - MSCI EMU UCITS ETF (EUR) UBS ETF - MSCI EMU UCITS ETF (EUR) A-ACC
0HGJ,UBS ETF MSCI EUROPE UCITS ETF (EUR) UBS ETF MSCI EUROPE UCITS ETF (EURH) A-A
0JJ4,ISHARES GLOBAL MATERIALS ETF ISHARES GLOBAL MATERIALS ETF
0IX8,GLOBAL X SUPERDIVIDEND ETF GLOBAL X SUPERDIVIDEND ETF
0LLB,VANECK VECTORS SEMICONDUCTOR ETF VANECK VECTORS SEMICONDUCTOR ETF
0H6M,ALPS MEDICAL BREAKTHROUGHS ETF ALPS MEDICAL BREAKTHROUGHS ETF
0VQ1,ISHARES SMIM (CH) ISHARES SMIM  ETF (CH) ETF
0HOW,UBS ETF MSCI CANADA UCITS ETF (CAD) UBS ETF - MSCI CANADA UCITS ETF (HEDGED
0MK8,ISHARES SLI (CH) ISHARES SLI  ETF (CH) ETF
0E25,UBS ETF - MSCI EMU UCITS ETF (EUR) UBS ETF - MSCI EMU UCITS ETF (SGDH) A-AC
0HCS,UBS ETF MSCI CANADA UCITS ETF (CAD) UBS ETF MSCI CANADA UCITS ETF (HEDGED TO
0LLQ,VANECK VECTORS VIETNAM ETF VANECK VECTORS VIETNAM ETF
0Y4V,UBS UBS ETF USA SELECT FACTOR MIX ETF
0JLR,ISHARES MSCI SINGAPORE ETF ISHARES MSCI SINGAPORE ETF
0DX1,COMSTAGE SDAX UCITS ETF COMSTAGE SDAX UCITS ETF
0Y4T,UBS UBS ETF USA SELECT FACTOR MIX ETF
0DZW,UBS ETF MSCI JAPAN UCITS ETF (JPY) UBS ETF MSCI JAPAN UCITS ETF (JPY) A-ACC
0JKT,ISHARES MSCI INDIA ETF ISHARES MSCI INDIA ETF
0JKT,ISHARES MSCI INDIA ETF ISHARES MSCI INDIA ETF
0HBI,UBS ETF MSCI CANADA UCITS ETF (CAD) UBS ETF MSCI CANADA UCITS ETF (CAD) A-AC
